system:index,Blue,Green,NDSI,NDVI,NDWI,NIR,Red,SWIR1,SWIR2,Thermal,class,random,.geo
1_1_1_1_4_6,0.4435275,0.445645,0.88965744,-0.03241017,0.020979982,0.42733000000000004,0.45595749999999996,0.026022500000000004,0.029102500000000003,274.2020726,0,0.5751140928305403,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_4_7,0.45252,0.45912000000000003,0.8847097,-0.03371969,0.028333372,0.43382000000000004,0.4640975,0.028085,0.031907500000000005,274.23283477999996,0,0.5333653608977986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_4_9,0.38029124999999997,0.41557375,0.9153395,-0.049436327,0.02635487,0.39467375,0.43452125,0.018267500000000006,0.018968749999999993,274.18156448,0,0.5036228208870239,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_4_10,0.430135,0.4364875,0.8899449,-0.038944773,0.023933519,0.41608249999999997,0.44487499999999996,0.02541750000000001,0.028662500000000007,274.21916269999997,0,0.5384955365257282,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_4_11,0.445205,0.45254750000000005,0.8838877,-0.040989757,0.023509989,0.43175749999999996,0.45851500000000006,0.027892499999999987,0.030312499999999992,274.2533429,0,0.14859094244742477,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_4_12,0.36232000000000003,0.365345,0.8822272,-0.026502158,0.011348372,0.3505225,0.36960750000000003,0.017414999999999986,0.021072499999999994,274.2020726,0,0.46881502355564797,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_4_14,0.39540250000000005,0.40065500000000004,0.8871448,-0.03189498,0.016465185,0.38767500000000005,0.40904250000000003,0.02396000000000001,0.027342499999999992,274.24650686,0,0.07331184105405886,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_4_15,0.41965749999999996,0.4307125,0.8872999,-0.029350802,0.01783884,0.415615,0.44075000000000003,0.025719999999999993,0.02912999999999999,274.28068706,0,0.7130401205094916,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_5_1,0.3747225,0.4593675,0.9582343,-0.049666077,-0.007958061,0.46673749999999997,0.5155225000000001,0.009797499999999987,0.010264999999999996,275.3983796,0,0.1214253803306784,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_6_0,0.30217750000000004,0.36710499999999996,0.9358019,-0.037377372,0.0015920686,0.39785,0.4210875,0.012107499999999993,0.011722499999999997,276.9706688,0,0.6618853249199589,"{""type"":""MultiPoint"",""coordinates"":[]}"
